date,time,item_name,category,quantity,price,total,payment_method,staff_name
2024-01-01,16:45,Sandwich,Food,1,7.5,7.5,Cash,John Smith
2024-01-01,16:45,Smoothie,Beverages,1,6.0,6.0,Card,Sarah Johnson
2024-01-01,12:48,Cappuccino,Coffee,1,4.5,4.5,Cash,Sarah Johnson
2024-01-01,14:13,Salad,Food,1,8.5,8.5,Mobile Pay,Alex Brown
2024-01-01,08:13,Latte,Coffee,1,5.0,5.0,Cash,Emma Wilson
2024-01-01,08:44,Fresh Juice,Beverages,1,4.25,4.25,Mobile Pay,Emma Wilson
2024-01-01,16:58,Cappuccino,Coffee,1,4.5,4.5,Cash,Alex Brown
2024-01-01,12:00,Sandwich,Food,1,7.5,7.5,Mobile Pay,Emma Wilson
2024-01-01,07:40,Sandwich,Food,1,7.5,7.5,Card,Emma Wilson
2024-01-01,08:23,Latte,Coffee,1,5.0,5.0,Cash,Sarah Johnson
2024-01-01,08:23,Cappuccino,Coffee,1,4.5,4.5,Mobile Pay,Alex Brown
2024-01-01,18:01,Salad,Food,1,8.5,8.5,Mobile Pay,Alex Brown
2024-01-01,18:01,Bagel,Food,1,4.25,4.25,Mobile Pay,Emma Wilson
2024-01-01,18:01,Salad,Food,1,8.5,8.5,Card,Sarah Johnson
2024-01-01,13:02,Hot Chocolate,Beverages,1,4.0,4.0,Card,Mike Davis
2024-01-01,17:09,Fresh Juice,Beverages,1,4.25,4.25,Mobile Pay,Alex Brown
2024-01-01,17:09,Fresh Juice,Beverages,1,4.25,4.25,Mobile Pay,Alex Brown
2024-01-01,17:09,Fresh Juice,Beverages,1,4.25,4.25,Card,Sarah Johnson
2024-01-01,14:56,Mocha,Coffee,1,5.5,5.5,Mobile Pay,Sarah Johnson
2024-01-01,14:56,Cake Slice,Food,2,4.75,9.5,Mobile Pay,Sarah Johnson
2024-01-01,11:50,Cake Slice,Food,1,4.75,4.75,Mobile Pay,Sarah Johnson
2024-01-01,09:47,Latte,Coffee,1,5.0,5.0,Mobile Pay,Mike Davis
2024-01-01,05:58,Cake Slice,Food,1,4.75,4.75,Card,Emma Wilson
2024-01-01,05:58,Salad,Food,1,8.5,8.5,Cash,Alex Brown
2024-01-01,07:47,Cappuccino,Coffee,1,4.5,4.5,Mobile Pay,Mike Davis
2024-01-01,07:47,Latte,Coffee,1,5.0,5.0,Cash,John Smith
2024-01-01,18:37,Mocha,Coffee,2,5.5,11.0,Cash,John Smith
2024-01-01,17:48,Smoothie,Beverages,1,6.0,6.0,Cash,Alex Brown
2024-01-01,17:48,Croissant,Food,1,3.25,3.25,Card,Mike Davis
2024-01-01,17:48,Bagel,Food,1,4.25,4.25,Cash,Mike Davis
2024-01-01,13:51,Latte,Coffee,1,5.0,5.0,Card,Mike Davis
2024-01-01,13:51,Tea,Beverages,1,2.75,2.75,Card,Mike Davis
2024-01-01,13:51,Muffin,Food,1,3.75,3.75,Cash,Mike Davis
2024-01-01,07:21,Latte,Coffee,1,5.0,5.0,Cash,Sarah Johnson
2024-01-01,17:11,Latte,Coffee,1,5.0,5.0,Card,John Smith
2024-01-01,07:28,Cappuccino,Coffee,1,4.5,4.5,Cash,John Smith
2024-01-01,07:28,Cappuccino,Coffee,1,4.5,4.5,Card,Alex Brown
2024-01-01,03:38,Mocha,Coffee,1,5.5,5.5,Cash,Mike Davis
2024-01-01,17:45,Tea,Beverages,1,2.75,2.75,Card,Alex Brown
2024-01-01,17:45,Smoothie,Beverages,2,6.0,12.0,Card,John Smith
2024-01-01,17:45,Cappuccino,Coffee,1,4.5,4.5,Cash,John Smith
2024-01-01,12:21,Muffin,Food,1,3.75,3.75,Card,Alex Brown
2024-01-01,15:53,Mocha,Coffee,1,5.5,5.5,Cash,John Smith
2024-01-01,15:53,Latte,Coffee,1,5.0,5.0,Card,Sarah Johnson
2024-01-01,07:43,Hot Chocolate,Beverages,1,4.0,4.0,Mobile Pay,Sarah Johnson
2024-01-01,15:45,Smoothie,Beverages,1,6.0,6.0,Cash,John Smith
2024-01-01,15:45,Salad,Food,2,8.5,17.0,Mobile Pay,Alex Brown
